CD_PROGRAMA_IES;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;NM_MUNICIPIO_PROGRAMA_IES;SG_UF_PROGRAMA;NM_GRAU_PROGRAMA;CD_CONCEITO_PROGRAMA;AN_INICIO_CURSO;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;DS_FINALIDADE;DS_PLATAFORMA;DS_AMBIENTE;NR_REG_DIREITO_AUTORAL;DS_DISPONIBILIDADE;NM_FINANCIADOR;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;NM_PAIS;DS_IDIOMA;DS_DOI;NM_TITULO_INGLES;IN_GLOSA
42001013059P3;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;PORTO ALEGRE;RS;MESTRADO/DOUTORADO;7;1994/1999;ENGENHARIA DE PRODUÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2013;6385322;3;4;COMPUTACIONAL;ANÁLISE DE POSTURA DINÂMICAS COM BASE NO MÉTODO OWAS;EMBARCADERO DELPHI XE5 ARCHITECT;WINDOWS;;RESTRITA;;MEIO DIGITAL;;FINS DIDÁTICOS E TÉCNICNOS;;;;;0
42001013059P3;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;PORTO ALEGRE;RS;MESTRADO/DOUTORADO;7;1994/1999;ENGENHARIA DE PRODUÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2013;6385328;3;4;COMPUTACIONAL;DEFESA CIVIL;SMARTPHONES;;;RESTRITA;;MEIO DIGITAL;;;;;;;0
42001013059P3;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;PORTO ALEGRE;RS;MESTRADO/DOUTORADO;7;1994/1999;ENGENHARIA DE PRODUÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2013;6385378;3;4;COMPUTACIONAL;APOIO À MANUTENÇÃO;VBA;WINDOWS;;RESTRITA;;MEIO DIGITAL;;;;;;;0
42001013059P3;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;PORTO ALEGRE;RS;MESTRADO/DOUTORADO;7;1994/1999;ENGENHARIA DE PRODUÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2013;6385468;3;4;COMPUTACIONAL;DIMENSIONAMENTO DE PESSOAL;VISUAL STUDIO;WINDOWS;;RESTRITA;MINISTÉRIO DO DESENVOLVIMENTO DA INDUSTRIA E COMÉRCIO EXTERIOR;MEIO DIGITAL;;;;;;;0
42001013059P3;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;PORTO ALEGRE;RS;MESTRADO/DOUTORADO;7;1994/1999;ENGENHARIA DE PRODUÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2013;6385469;3;4;COMPUTACIONAL;PLANEJAMENTO DE CAPACITAÇÃO DE PESSOAL;VISUAL STUDIO;WINDOWS;;RESTRITA;MINISTÉRIO DO DESENVOLVIMENTO INDÚSTRIA E COMÉRCIO EXTERIOR;MEIO DIGITAL;;;;;;;0
42001013059P3;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;PORTO ALEGRE;RS;MESTRADO/DOUTORADO;7;1994/1999;ENGENHARIA DE PRODUÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2013;6385470;3;4;COMPUTACIONAL;SELEÇÃO DE VARIÁVEIS;MATLAB;WINDOWS;;RESTRITA;;MEIO DIGITAL;;;;;;;0
42001013059P3;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;PORTO ALEGRE;RS;MESTRADO/DOUTORADO;7;1994/1999;28023013002P8;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2013;6385471;3;4;COMPUTACIONAL;SEQUENCIAMENTO DE TAREFAS;MATLAB;WINDOWS;;RESTRITA;;MEIO DIGITAL;;;;;;;0
42001013059P3;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;PORTO ALEGRE;RS;MESTRADO/DOUTORADO;7;1994/1999;ENGENHARIA DE PRODUÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2013;6385472;3;4;COMPUTACIONAL;SELEÇÃO DE VARIÁVEIS;MATLAB;WINDOWA;;IRRESTRITA;;MEIO DIGITAL;;;;;;;0
33002010216P2;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;ESTADUAL;PÚBLICO;UNIVERSIDADE;SUDESTE;SÃO PAULO;SP;MESTRADO/DOUTORADO;3;2011/2011;ESTUDOS JUDAICOS E ARABES;USP;UNIVERSIDADE DE SÃO PAULO;2014;6668951;3;4;OUTRA;DIVULGAÇÃO DE MATERIAL DIDÁTICO;(HARDWARE);INTERNET;-;IRRESTRITA;-;MEIO DIGITAL;HTTPS://SITES.GOOGLE.COM/SITE/MANUMARCUSHUBNER;-;;;;;0
32002017032P6;CIÊNCIAS AGRÁRIAS;ZOOTECNIA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUDESTE;VIÇOSA;MG;MESTRADO PROFISSIONAL;4;2006;ZOOTECNIA;UFV;UNIVERSIDADE FEDERAL DE VIÇOSA;2014;6686534;3;4;COMPUTACIONAL;FORMULAR DIETAS E PREDIZER O DESEMPENHO DE BOVINOS;PHP;-;-;IRRESTRITA;"CNPQ;FAPEMIG; INCT DE CIÊNCIA ANIMAL";MEIO DIGITAL;-;-;-;-;-;-;0
